t,p1,p2,v1,a1,v2,a2,
0.05,0.241,0.252,-0.155,0.155,-0.077,0.117,
0.1,0.233,0.249,-0.147,0.22,-0.071,0.139,
0.15,0.226,0.245,-0.134,0.293,-0.064,0.176,
0.2,0.22,0.242,-0.116,0.345,-0.053,0.216,
0.25,0.215,0.24,-0.098,0.375,-0.043,0.261,
0.3,0.21,0.238,-0.079,0.404,-0.028,0.307,
0.35,0.207,0.237,-0.061,0.486,-0.01,0.317,
0.4,0.203,0.237,-0.028,0.541,0.005,0.3,
0.45,0.204,0.237,-0.002,0.516,0.02,0.28,
0.5,0.203,0.239,0.017,0.578,0.033,0.258,
0.55,0.205,0.241,0.054,0.651,0.045,0.251,
0.6,0.209,0.243,0.092,0.561,0.059,0.237,
0.65,0.215,0.247,0.115,0.377,0.07,0.191,
0.7,0.221,0.25,0.125,0.255,0.078,0.141,
0.75,0.227,0.255,0.137,0.197,0.085,0.079,
0.8,0.235,0.259,0.146,0.127,0.086,0.009,
0.85,0.242,0.263,0.149,0.068,0.084,-0.041,
0.9,0.25,0.268,0.152,0.021,0.082,-0.091,
0.95,0.257,0.272,0.153,-0.043,0.076,-0.145,
1.0,0.265,0.275,0.149,-0.129,0.067,-0.182,
1.05,0.273,0.278,0.14,-0.225,0.057,-0.202,
1.1,0.279,0.281,0.126,-0.312,0.047,-0.222,
1.15,0.285,0.283,0.108,-0.379,0.034,-0.237,
1.2,0.29,0.284,0.087,-0.42,0.022,-0.236,
1.25,0.294,0.285,0.064,-0.425,0.011,-0.231,
1.3,0.297,0.285,0.043,-0.407,-0.001,-0.224,
1.35,0.298,0.285,0.024,-0.391,-0.011,-0.239,
1.4,0.299,0.285,0.004,-0.377,-0.024,-0.258,
1.45,0.299,0.283,-0.013,-0.378,-0.038,-0.244,
1.5,0.298,0.281,-0.033,-0.387,-0.05,-0.203,
1.55,0.295,0.278,-0.053,-0.377,-0.058,-0.161,
1.6,0.292,0.275,-0.071,-0.35,-0.066,-0.123,
1.65,0.288,0.271,-0.089,-0.305,-0.071,-0.083,
1.7,0.283,0.268,-0.101,-0.268,-0.073,-0.056,
1.75,0.278,0.264,-0.115,-0.226,-0.077,-0.02,
1.8,0.272,0.26,-0.126,-0.142,-0.076,0.031,
1.85,0.265,0.256,-0.129,-0.062,-0.073,0.074,
1.9,0.259,0.252,-0.131,-0.005,-0.068,0.112,
1.95,0.252,0.249,-0.13,0.059,-0.062,0.153,
2.0,0.246,0.246,-0.125,0.117,-0.053,0.2,
2.05,0.239,0.244,-0.118,0.166,-0.042,0.237,
2.1,0.234,0.242,-0.108,0.211,-0.03,0.266,
2.15,0.229,0.241,-0.096,0.247,-0.015,0.287,
2.2,0.224,0.24,-0.088,0.346,0.001,0.281,
2.25,0.219,0.241,-0.061,0.421,0.014,0.258,
2.3,0.218,0.242,-0.035,0.315,0.025,0.245,
2.35,0.217,0.243,-0.033,0.281,0.039,0.234,
2.4,0.214,0.246,-0.017,0.419,0.05,0.202,
2.45,0.214,0.248,0.014,0.471,0.059,0.166,
2.5,0.216,0.252,0.036,0.428,0.067,0.121,
2.55,0.218,0.255,0.055,0.401,0.072,0.065,
2.6,0.221,0.259,0.075,0.38,0.072,0.028,
2.65,0.225,0.262,0.097,0.287,0.073,0.013,
2.7,0.232,0.266,0.107,0.122,0.075,-0.02,
2.75,0.237,0.27,0.104,0.046,0.072,-0.072,
2.8,0.242,0.274,0.107,0.06,0.066,-0.108,
2.85,0.247,0.277,0.111,0.059,0.062,-0.144,
2.9,0.253,0.28,0.116,0.015,0.053,-0.192,
2.95,0.259,0.282,0.114,-0.061,0.041,-0.213,
3.0,0.264,0.284,0.108,-0.108,0.031,-0.216,
3.05,0.27,0.285,0.103,-0.144,0.02,-0.228,
3.1,0.275,0.286,0.094,-0.189,0.008,-0.244,
3.15,0.279,0.286,0.084,-0.24,-0.004,-0.257,
3.2,0.283,0.286,0.07,-0.295,-0.019,-0.246,
3.25,0.286,0.284,0.053,-0.323,-0.03,-0.217,
3.3,0.289,0.282,0.037,-0.323,-0.039,-0.205,
3.35,0.29,0.28,0.021,-0.316,-0.051,-0.186,
3.4,0.291,0.277,0.006,-0.318,-0.059,-0.155,
3.45,0.291,0.274,-0.011,-0.319,-0.066,-0.126,
3.5,0.29,0.27,-0.026,-0.317,-0.072,-0.083,
3.55,0.288,0.267,-0.043,-0.312,-0.074,-0.047,
3.6,0.285,0.263,-0.058,-0.289,-0.076,-0.016,
3.65,0.282,0.259,-0.073,-0.241,-0.076,0.024,
3.7,0.278,0.255,-0.083,-0.188,-0.074,0.067,
3.75,0.274,0.252,-0.09,-0.166,-0.069,0.104,
3.8,0.269,0.249,-0.099,-0.139,-0.064,0.139,
3.85,0.264,0.245,-0.106,-0.075,-0.056,0.18,
3.9,0.258,0.243,-0.107,-0.008,-0.045,0.208,
3.95,0.253,0.241,-0.105,0.033,-0.035,0.231,
4.0,0.248,0.239,-0.102,0.051,-0.022,0.248,
4.05,0.243,0.239,-0.099,0.061,-0.01,0.259,
4.1,0.238,0.238,-0.101,0.155,0.004,0.276,
4.15,0.232,0.239,-0.083,0.245,0.02,0.259,
4.2,0.23,0.24,-0.071,0.244,0.031,0.214,
4.25,0.225,0.242,-0.064,0.319,0.04,0.19,
4.3,0.223,0.244,-0.039,0.379,0.049,0.19,
4.35,0.221,0.247,-0.021,0.351,0.059,0.187,
4.4,0.221,0.25,-0.005,0.339,0.069,0.148,
4.45,0.221,0.254,0.012,0.349,0.075,0.084,
4.5,0.222,0.258,0.029,0.37,0.076,0.04,
4.55,0.224,0.262,0.048,0.395,0.078,0.007,
4.6,0.226,0.266,0.073,0.336,0.078,-0.044,
4.65,0.232,0.27,0.087,0.179,0.074,-0.101,
4.7,0.236,0.273,0.087,0.083,0.067,-0.137,
4.75,0.24,0.276,0.091,0.073,0.06,-0.157,
4.8,0.245,0.279,0.096,0.053,0.052,-0.18,
4.85,0.25,0.282,0.097,0.014,0.042,-0.198,
4.9,0.254,0.283,0.097,-0.028,0.031,-0.207,
4.95,0.259,0.285,0.094,-0.069,0.022,-0.23,
5.0,0.264,0.286,0.09,-0.109,0.008,-0.252,
5.05,0.269,0.286,0.084,-0.154,-0.005,-0.243,
5.1,0.272,0.285,0.073,-0.178,-0.016,-0.228,
5.15,0.276,0.284,0.065,-0.189,-0.027,-0.218,
5.2,0.279,0.282,0.056,-0.217,-0.038,-0.198,
5.25,0.281,0.28,0.044,-0.259,-0.047,-0.175,
5.3,0.283,0.278,0.029,-0.281,-0.055,-0.161,
5.35,0.284,0.275,0.015,-0.276,-0.063,-0.147,
5.4,0.285,0.271,0.002,-0.283,-0.071,-0.116,
5.45,0.285,0.268,-0.013,-0.296,-0.076,-0.067,
5.5,0.283,0.264,-0.028,-0.298,-0.078,-0.014,
5.55,0.282,0.26,-0.044,-0.281,-0.077,0.031,
5.6,0.279,0.256,-0.058,-0.229,-0.074,0.071,
5.65,0.276,0.252,-0.067,-0.17,-0.07,0.106,
5.7,0.272,0.249,-0.074,-0.13,-0.063,0.135,
5.75,0.268,0.246,-0.079,-0.105,-0.056,0.167,
5.8,0.264,0.243,-0.085,-0.067,-0.048,0.214,
5.85,0.26,0.241,-0.087,-0.016,-0.035,0.262,
5.9,0.256,0.24,-0.086,0.025,-0.02,0.28,
5.95,0.251,0.239,-0.085,0.073,-0.006,0.279,
6.0,0.247,0.239,-0.079,0.116,0.008,0.269,
6.05,0.243,0.24,-0.072,0.13,0.021,0.243,
6.1,0.24,0.241,-0.066,0.15,0.033,0.21,
6.15,0.236,0.243,-0.058,0.197,0.042,0.189,
6.2,0.234,0.245,-0.046,0.246,0.051,0.187,
6.25,0.232,0.248,-0.032,0.262,0.061,0.166,
6.3,0.231,0.252,-0.019,0.246,0.068,0.127,
6.35,0.23,0.255,-0.008,0.24,0.074,0.091,
6.4,0.23,0.259,0.004,0.259,0.078,0.044,
6.45,0.23,0.263,0.019,0.262,0.078,0.003,
6.5,0.232,0.267,0.032,0.236,0.077,-0.021,
6.55,0.233,0.271,0.042,0.212,0.077,-0.064,
6.6,0.236,0.275,0.053,0.179,0.071,-0.113,
6.65,0.239,0.278,0.061,0.135,0.065,-0.152,
6.7,0.242,0.281,0.066,0.098,0.056,-0.184,
6.75,0.246,0.284,0.07,0.075,0.046,-0.212,
6.8,0.249,0.286,0.074,0.041,0.035,-0.241,
6.85,0.253,0.287,0.076,-0.02,0.022,-0.263,
6.9,0.257,0.288,0.071,-0.065,0.008,-0.263,
6.95,0.26,0.288,0.067,-0.076,-0.006,-0.245,
7.0,0.263,0.287,0.065,-0.109,-0.016,-0.235,
7.05,0.267,0.286,0.057,-0.16,-0.028,-0.238,
7.1,0.269,0.285,0.047,-0.175,-0.041,-0.225,
7.15,0.271,0.282,0.04,-0.186,-0.051,-0.198,
7.2,0.273,0.279,0.029,-0.21,-0.061,-0.176,
7.25,0.275,0.276,0.017,-0.208,-0.07,-0.139,
7.3,0.275,0.272,0.008,-0.186,-0.075,-0.097,
7.35,0.275,0.269,-0.001,-0.173,-0.078,-0.074,
7.4,0.275,0.264,-0.01,-0.168,-0.083,-0.04,
7.45,0.274,0.26,-0.017,-0.168,-0.084,0.018,
7.5,0.273,0.256,-0.026,-0.178,-0.081,0.076,
7.55,0.272,0.252,-0.036,-0.166,-0.075,0.106,
7.6,0.269,0.249,-0.044,-0.122,-0.069,0.118,
7.65,0.267,0.245,-0.048,-0.087,-0.064,0.152,
7.7,0.265,0.242,-0.052,-0.061,-0.054,0.196,
7.75,0.262,0.24,-0.055,-0.021,-0.043,0.223,
7.8,0.259,0.238,-0.054,0.005,-0.032,0.252,
7.85,0.257,0.236,-0.053,0.01,-0.018,0.278,
7.9,0.254,0.236,-0.054,0.034,-0.003,0.274,
7.95,0.251,0.236,-0.05,0.069,0.01,0.259,
8.0,0.249,0.237,-0.046,0.094,0.022,0.259,
8.05,0.246,0.238,-0.041,0.124,0.035,0.266,
8.1,0.245,0.24,-0.033,0.14,0.05,0.243,
8.15,0.243,0.243,-0.026,0.136,0.061,0.19,
8.2,0.242,0.246,-0.02,0.131,0.068,0.148,
8.25,0.241,0.25,-0.014,0.142,0.075,0.118,
8.3,0.241,0.254,-0.006,0.163,0.081,0.068,
8.35,0.24,0.258,0.004,0.161,0.081,0.025,
8.4,0.241,0.262,0.011,0.142,0.082,-0.004,
8.45,0.241,0.267,0.018,0.117,0.083,-0.06,
8.5,0.243,0.271,0.023,0.082,0.077,-0.12,
8.55,0.244,0.274,0.024,0.077,0.069,-0.156,
8.6,0.245,0.278,0.029,0.099,0.06,-0.172,
8.65,0.247,0.28,0.037,0.082,0.051,-0.17,
