frame,x,y
000001,600,952
000002,599,888
000003,598,838
000004,597,815
000005,597,820
000006,599,853
000007,601,910
000008,596,982
000009,585,1055
000010,574,1116
000011,564,1159
000012,560,1176
000013,563,1166
000014,572,1129
000015,583,1068
000016,592,992
000017,599,918
000018,600,861
000019,597,819
000020,597,809
000021,597,827
000022,598,873
000023,597,937
000024,591,1011
000025,578,1082
000026,567,1135
000027,560,1165
000028,560,1167
000029,566,1145
000030,576,1098
000031,586,1033
000032,593,961
000033,597,895
000034,597,845
000035,597,817
000036,596,820
000037,596,853
000038,596,905
000039,593,972
000040,585,1043
000041,574,1104
000042,563,1147
000043,559,1163
000044,561,1158
000045,570,1125
000046,581,1068
000047,590,1001
000048,595,931
000049,596,875
000050,596,835
000051,596,823
000052,596,837
000053,596,878
000054,594,936
000055,589,1004
000056,580,1071
000057,570,1122
000058,562,1154
000059,560,1158
000060,565,1141
000061,575,1098
000062,585,1038
000063,593,970
000064,596,906
000065,596,860
000066,596,831
000067,596,830
000068,596,858
000069,596,906
000070,592,968
000071,585,1034
000072,575,1093
000073,566,1134
000074,562,1152
000075,563,1148
000076,569,1120
000077,579,1069
000078,589,1006
000079,594,941
000080,596,887
000081,595,850
000082,595,834
000083,596,846
000084,596,881
000085,595,935
000086,590,998
000087,581,1062
000088,572,1111
000089,564,1141
000090,563,1149
000091,567,1134
000092,575,1096
000093,584,1041
000094,592,977
000095,595,918
000096,596,872
000097,596,844
000098,596,841
000099,595,866
000100,595,910
000101,592,966
000102,586,1027
000103,576,1084
000104,569,1122
000105,565,1141
000106,565,1138
000107,571,1114
000108,580,1068
000109,588,1010
000110,593,949
000111,596,897
000112,597,860
000113,597,845
000114,596,855
000115,596,888
000116,594,937
000117,590,996
000118,582,1054
000119,574,1101
000120,567,1129
000121,566,1136
000122,569,1125
000123,576,1091
000124,584,1039
000125,591,980
000126,595,926
000127,596,882
000128,596,852
000129,596,849
000130,596,871
000131,595,911
000132,593,964
000133,586,1022
000134,578,1074
000135,571,1110
000136,567,1130
000137,567,1128
000138,572,1106
000139,580,1064
000140,588,1010
000141,593,954
000142,595,905
000143,596,870
000144,597,855
000145,596,863
000146,595,894
000147,594,938
000148,590,992
000149,583,1047
000150,575,1092
000151,570,1119
000152,568,1126
000153,570,1115
000154,577,1084
000155,585,1037
000156,591,984
000157,595,933
000158,596,890
000159,597,865
000160,597,861
000161,596,879
000162,595,918
000163,593,966
000164,587,1019
000165,580,1068
000166,573,1102
000167,570,1119
000168,570,1117
000169,574,1098
000170,581,1059
000171,588,1010
000172,593,958
000173,596,912
000174,596,880
000175,597,866
000176,596,873
000177,595,902
000178,594,943
000179,590,992
000180,584,1042
000181,577,1084
000182,572,1107
000183,570,1115
000184,573,1105
000185,578,1077
000186,585,1034
000187,591,983
000188,594,937
000189,596,898
000190,596,875
000191,596,872
000192,596,888
000193,595,924
000194,593,968
000195,587,1016
000196,581,1062
000197,575,1094
000198,572,1108
000199,573,1107
000200,576,1088
000201,582,1054
000202,588,1008
000203,593,961
000204,595,918
000205,596,888
000206,596,877
000207,596,883
000208,595,910
000209,594,948
000210,590,994
000211,584,1040
000212,578,1077
000213,573,1099
000214,573,1106
000215,575,1096
000216,580,1068
000217,586,1029
000218,591,983
000219,595,940
000220,596,905
000221,597,886
000222,597,883
000223,596,901
000224,595,932
000225,592,973
000226,587,1017
000227,581,1058
000228,577,1085
000229,574,1099
000230,574,1096
000231,578,1078
000232,583,1046
000233,589,1004
000234,593,962
000235,595,924
000236,596,897
000237,596,888
000238,596,895
000239,595,921
000240,593,956
000241,590,998
000242,584,1039
000243,579,1072
000244,576,1092
000245,575,1095
000246,577,1084
000247,581,1059
000248,587,1022
000249,591,981
000250,594,943
000251,596,911
000252,597,894
000253,597,894
000254,596,911
000255,595,941
000256,592,979
000257,587,1020
000258,582,1056
000259,578,1080
000260,576,1091
000261,577,1086
000262,580,1068
000263,585,1037
000264,590,999
000265,593,959
000266,595,925
000267,597,902
000268,597,895
000269,596,905
000270,595,929
000271,593,963
000272,589,1003
000273,585,1040
000274,580,1069
000275,577,1084
000276,577,1087
000277,579,1076
000278,583,1051
000279,588,1016
000280,592,978
000281,595,943
000282,596,915
000283,597,900
000284,597,903
000285,596,921
000286,594,951
000287,591,987
000288,587,1024
000289,582,1057
000290,579,1077
000291,577,1085
000292,578,1080
000293,581,1060
000294,586,1030
000295,590,994
000296,594,957
000297,596,927
000298,596,907
000299,597,903
000300,596,914
000301,595,940
000302,592,972
000303,589,1009
000304,584,1043
000305,581,1068
000306,578,1080
000307,578,1080
000308,581,1067
000309,585,1042
000310,589,1008
000311,593,972
000312,595,940
000313,596,916
000314,597,906
000315,597,911
000316,595,930
000317,594,959
000318,590,994
000319,587,1029
000320,582,1057
000321,580,1073
000322,578,1079
000323,580,1071
000324,583,1051
000325,587,1021
000326,591,986
000327,594,954
000328,596,927
000329,597,911
000330,597,909
000331,596,923
000332,595,948
000333,592,979
000334,588,1014
000335,584,1046
000336,581,1068
000337,579,1077
000338,579,1074
000339,582,1059
000340,586,1033
000341,590,1000
000342,593,966
000343,595,937
000344,596,917
000345,597,908
000346,596,917
000347,595,938
000348,593,968
000349,590,1001
000350,586,1034
000351,582,1059
000352,579,1073
000353,579,1075
000354,581,1066
000355,585,1044
000356,589,1013
000357,592,979
000358,595,948
000359,596,924
000360,597,911
000361,597,913
000362,596,928
000363,594,956
000364,591,988
000365,587,1021
000366,583,1050
000367,580,1069
000368,579,1076
000369,580,1070
000370,583,1053
000371,587,1026
000372,591,992
000373,594,960
000374,595,933
000375,596,915
000376,596,911
000377,596,923
000378,595,946
000379,592,975
000380,589,1008
000381,585,1039
000382,582,1062
000383,580,1073
000384,580,1072
000385,582,1060
000386,585,1036
000387,589,1005
000388,592,973
000389,595,943
000390,596,922
000391,597,912
000392,597,917
000393,595,937
000394,593,964
000395,590,996
000396,587,1028
000397,583,1054
000398,580,1069
000399,580,1073
000400,581,1066
000401,584,1046
000402,588,1018
000403,591,986
000404,594,954
000405,596,930
000406,596,916
000407,596,916
000408,596,928
000409,594,953
000410,591,983
000411,588,1016
000412,584,1044
000413,581,1062
000414,580,1072
000415,580,1068
000416,583,1054
000417,587,1029
000418,590,998
000419,593,966
000420,595,939
000421,597,920
000422,597,915
000423,596,924
000424,595,944
000425,593,972
000426,590,1003
000427,586,1033
000428,582,1057
000429,580,1069
000430,580,1070
000431,582,1059
000432,585,1039
000433,589,1010
000434,592,978
000435,595,948
000436,596,927
000437,596,916
000438,596,920
000439,595,935
000440,594,961
000441,591,991
000442,587,1023
000443,584,1049
000444,581,1065
000445,580,1070
000446,581,1065
000447,584,1047
000448,587,1021
000449,591,990
000450,594,960
000451,595,936
000452,596,919
000453,596,918
000454,595,929
000455,594,951
000456,592,979
000457,589,1011
000458,585,1039
000459,582,1060
000460,580,1068
000461,581,1067
000462,583,1054
000463,586,1031
000464,590,1002
000465,593,971
000466,595,944
000467,596,925
000468,596,918
000469,596,924
000470,595,943
000471,593,969
000472,590,1000
000473,587,1029
000474,583,1052
000475,581,1065
000476,580,1068
000477,582,1060
000478,585,1040
000479,588,1012
000480,592,982
000481,594,954
000482,595,932
000483,596,920
000484,596,921
000485,595,936
000486,594,959
000487,591,988
000488,588,1017
000489,584,1044
000490,581,1061
000491,580,1068
000492,581,1063
000493,584,1048
000494,587,1023
