frame,x,y
000001,515,1245
000002,515,1245
000003,578,812
000004,579,768
000005,577,809
000006,573,798
000007,569,851
000008,555,895
000009,538,940
000010,547,948
000011,561,1008
000012,577,963
000013,581,850
000014,582,785
000015,581,796
000016,579,877
000017,576,939
000018,574,801
000019,571,903
000020,568,1006
000021,546,1140
000022,530,1203
000023,544,1155
000024,567,1020
000025,570,912
000026,573,805
000027,570,911
000028,567,1017
000029,547,1143
000030,532,1197
000031,547,1138
000032,568,1005
000033,571,907
000034,574,809
000035,573,869
000036,567,1019
000037,544,1148
000038,532,1196
000039,547,1136
000040,569,1004
000041,571,950
000042,574,814
000043,573,899
000044,565,1039
000045,543,1157
000046,534,1195
000047,549,1129
000048,570,992
000049,571,908
000050,573,825
000051,572,939
000052,564,1053
000053,540,1168
000054,534,1197
000055,550,1126
000056,561,966
000057,571,859
000058,572,840
000059,567,956
000060,561,1070
000061,540,1172
000062,536,1189
000063,552,1114
000064,562,949
000065,573,870
000066,573,844
000067,568,955
000068,562,1067
000069,540,1168
000070,538,1175
000071,557,1090
000072,573,962
000073,576,857
000074,575,839
000075,565,898
000076,563,1058
000077,544,1153
000078,543,1156
000079,561,1066
000080,573,950
000081,575,851
000082,573,857
000083,568,891
000084,560,1077
000085,541,1164
000086,542,1161
000087,560,1074
000088,573,953
000089,573,861
000090,573,875
000091,565,933
000092,557,1092
000093,540,1168
000094,543,1158
000095,561,1066
000096,567,966
000097,573,866
000098,574,878
000099,569,973
000100,555,1101
000101,541,1170
000102,544,1153
000103,562,1056
000104,568,1001
000105,573,862
000106,574,886
000107,570,994
000108,555,1108
000109,541,1167
000110,546,1142
000111,564,1046
000112,574,928
000113,573,864
000114,573,901
000115,569,1006
000116,553,1111
000117,541,1166
000118,549,1132
000119,566,1033
000120,570,998
000121,573,867
000122,574,908
000123,567,1015
000124,552,1116
000125,542,1163
000126,552,1126
000127,567,1024
000128,574,915
000129,573,868
000130,574,912
000131,567,1023
000132,552,1120
000133,543,1160
000134,553,1113
000135,567,1014
000136,574,910
000137,574,869
000138,574,926
000139,566,1032
000140,551,1125
000141,543,1157
000142,555,1105
000143,569,1005
000144,567,936
000145,573,877
000146,573,939
000147,565,1041
000148,550,1128
000149,544,1152
000150,557,1094
000151,570,993
000152,568,945
000153,573,881
000154,573,944
000155,563,1052
000156,549,1135
000157,545,1149
000158,559,1083
000159,571,986
000160,311,970
000161,573,888
000162,572,958
000163,562,1060
000164,548,1137
000165,547,1143
000166,560,1078
000167,571,974
000168,573,897
000169,573,894
000170,573,960
000171,561,1068
000172,548,1137
